GU Psc b,Imaging,0.0,3591.3,14.179
Gl 378 b,Radial Velocity,3.822,0.0,0.0
Gl 49 b,Radial Velocity,13.8508,0.0,0.0
Gl 686 b,Radial Velocity,15.5314,0.0,0.0
HAT-P-1 b,Transit,4.46529976,166.86075,14.785
HAT-P-11 b,Transit,4.88780244,0.0,4.36
HAT-P-11 c,Radial Velocity,3407.0,0.0,0.0
HAT-P-12 b,Transit,3.2130598,67.059,10.749
HAT-P-13 b,Transit,2.91625,270.462,14.258
HAT-P-13 c,Radial Velocity,446.27,0.0,0.0
HAT-P-14 b,Transit,4.62767,1093.3352,15.917
HAT-P-15 b,Transit,10.8635,616.5902,11.882
HAT-P-16 b,Transit,2.77596,1332.605,14.448
HAT-P-17 b,Transit,10.33852,184.3414,11.769
HAT-P-17 c,Radial Velocity,5584.0,0.0,0.0
HAT-P-18 b,Transit,5.508023,62.61,11.153
HAT-P-19 b,Transit,4.008778,92.802,12.689
HAT-P-2 b,Transit,5.6335158,0.0,0.0
HAT-P-20 b,Transit,2.875317,2302.899,9.718
HAT-P-21 b,Transit,4.12448,1547.8321,12.442
HAT-P-22 b,Transit,3.21222,785.0401,12.89
HAT-P-23 b,Transit,1.21288,425.8922,12.218
HAT-P-24 b,Transit,3.35524,238.3725,14.572
HAT-P-25 b,Transit,3.65281514,180.84527,12.722
HAT-P-26 b,Transit,4.23452,22.2481,7.062
HAT-P-27 b,Transit,3.039577,197.05,11.43
HAT-P-28 b,Transit,3.257215,198.953,13.585
HAT-P-29 b,Transit,5.72319,279.6904,13.115
HAT-P-3 b,Transit,2.8997,206.5895,10.536
HAT-P-30 b,Transit,2.8106,263.7989,16.141
HAT-P-31 b,Transit,5.00542,721.4741,12.218
HAT-P-32 b,Transit,2.1500082,216.1244,22.194
HAT-P-33 b,Transit,3.47447,292.4036,20.737
HAT-P-34 b,Transit,5.452654,1058.3739,13.417
HAT-P-35 b,Transit,3.646706,335.62848,14.93
HAT-P-36 b,Transit,1.32734683,587.41341,14.314
HAT-P-37 b,Transit,2.797436,371.528,13.204
HAT-P-38 b,Transit,4.640382,84.857,9.247
HAT-P-39 b,Transit,3.54387,190.372,17.609
HAT-P-4 b,Transit,3.056536,213.255,14.28
HAT-P-40 b,Transit,4.45724,152.5584,17.038
HAT-P-41 b,Transit,2.69405,378.2177,22.978
HAT-P-42 b,Transit,4.641878,331.801,14.348
HAT-P-43 b,Transit,3.332687,210.395,14.359
HAT-P-44 b,Transit,4.301219,111.871,13.922
HAT-P-44 c,Radial Velocity,872.2,0.0,0.0
HAT-P-45 b,Transit,3.128992,283.492,15.984
HAT-P-46 b,Transit,4.463129,156.684,14.392
HAT-P-49 b,Transit,2.69155,699.226,17.822
