# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Thu Apr 16 01:34:03 2020
#
# User preference: *
#
# COLUMN 0 pl_hostname:    Host Name
# COLUMN 1 pl_name:        Planet Name
# COLUMN 2 pl_discmethod:  Discovery Method
# COLUMN 3 pl_orbper:      Orbital Period [days]
# COLUMN 4 dec_str:        Dec [sexagesimal]
# COLUMN 5 dec:            Dec [decimal degrees]
# COLUMN 6 pl_masse:       Planet Mass [Earth mass]
# COLUMN 7 pl_rade:        Planet Radius [Earth radii]
#
# pl_hostname,pl_name,pl_discmethod,pl_orbper,dec_str,dec,pl_masse,pl_rade
EPIC 220674823,EPIC 220674823 c,Transit,13.33907900,+10d47m40.9s,10.794699,,2.730
EPIC 246851721,EPIC 246851721 b,Transit,6.18023500,+16d16m43.5s,16.278742,953.49000,11.781
EPIC 248847494,EPIC 248847494 b,Transit,3650.00000000,+11d50m33.8s,11.842731,4131.79000,12.442
EPIC 249893012,EPIC 249893012 b,Transit,3.59510000,-16d43m28.3s,-16.724524,8.75000,1.950
EPIC 249893012,EPIC 249893012 c,Transit,15.62400000,-16d43m28.3s,-16.724524,14.67000,3.670
EPIC 249893012,EPIC 249893012 d,Transit,35.74700000,-16d43m28.3s,-16.724524,10.18000,3.940
FU Tau,FU Tau b,Imaging,,+25d02m59.6s,25.049898,5085.28000,
Fomalhaut,Fomalhaut b,Imaging,555530.00000000,-29d37m20.1s,-29.622236,,
G 9-40,G 9-40 b,Transit,5.74600700,+21d04m33.8s,21.076048,,2.025
GJ 1061,GJ 1061 b,Radial Velocity,3.20400000,-44d30m45.5s,-44.512634,,
GJ 1061,GJ 1061 c,Radial Velocity,6.68900000,-44d30m45.5s,-44.512634,,
GJ 1061,GJ 1061 d,Radial Velocity,13.03100000,-44d30m45.5s,-44.512634,,
GJ 1132,GJ 1132 b,Transit,1.62893100,-47d09m24.2s,-47.156727,1.66000,
GJ 1132,GJ 1132 c,Radial Velocity,8.92900000,-47d09m24.2s,-47.156727,,
GJ 1148,GJ 1148 b,Radial Velocity,41.38000000,+42d45m07.1s,42.751972,,
GJ 1148,GJ 1148 c,Radial Velocity,532.58000000,+42d45m07.1s,42.751972,,
GJ 1214,GJ 1214 b,Transit,1.58040456,+04d57m50.1s,4.963920,6.26125,2.847
GJ 1252,GJ 1252 b,Transit,0.51823490,-56d27m25.2s,-56.456990,2.09000,1.193
GJ 1265,GJ 1265 b,Radial Velocity,3.65110000,-17d41m08.8s,-17.685771,,
GJ 143,GJ 143 b,Transit,35.61253000,-63d29m56.8s,-63.499100,22.70000,2.610
GJ 15 A,GJ 15 A b,Radial Velocity,11.44070000,+44d01m22.6s,44.022953,,
GJ 15 A,GJ 15 A c,Radial Velocity,7600.00000000,+44d01m22.6s,44.022953,,
GJ 160.2,GJ 160.2 b,Radial Velocity,5.23540000,-20d51m11.2s,-20.853121,,
GJ 163,GJ 163 b,Radial Velocity,8.63182000,-53d22m25.3s,-53.373699,,
GJ 163,GJ 163 c,Radial Velocity,25.63058000,-53d22m25.3s,-53.373699,,
GJ 163,GJ 163 d,Radial Velocity,603.95116000,-53d22m25.3s,-53.373699,,
GJ 179,GJ 179 b,Radial Velocity,2288.00000000,+06d28m35.5s,6.476539,,
GJ 180,GJ 180 b,Radial Velocity,17.13300000,-17d46m24.3s,-17.773418,,
GJ 180,GJ 180 c,Radial Velocity,24.32900000,-17d46m24.3s,-17.773418,,
GJ 180,GJ 180 d,Radial Velocity,106.30000000,-17d46m24.3s,-17.773418,,
GJ 229,GJ 229 A c,Radial Velocity,121.99500000,-21d51m52.7s,-21.864643,,
GJ 229,GJ 229 b,Radial Velocity,526.11500000,-21d51m52.7s,-21.864643,,
